Date,Price,Open,High,Low,Vol.,Change %
12/25/2017,74200,73100,75400,73000,207.37K,0.41%
12/26/2017,75500,74900,75500,74300,403.71K,1.75%
12/27/2017,75000,74900,75700,74800,517.92K,-0.66%
12/28/2017,75700,75000,76000,74500,377.03K,0.93%
12/29/2017,76700,74800,77000,74800,609.68K,1.32%
1/2/2018,80000,77000,80000,76700,533.95K,4.30%
1/3/2018,82500,80000,84300,80000,699.51K,3.13%
1/4/2018,82500,81900,83400,81500,749.91K,0.00%
1/5/2018,84700,82500,85000,81800,553.92K,2.67%
1/8/2018,88800,84900,88800,83600,567.08K,4.84%
1/9/2018,90000,88800,90600,88200,517.48K,1.35%
1/10/2018,87000,90000,90000,86800,691.14K,-3.33%
1/11/2018,90000,85700,90000,85700,650.60K,3.45%
1/12/2018,93000,90400,93500,90000,513.87K,3.33%
1/15/2018,92800,93300,93700,90100,880.86K,-0.22%
1/16/2018,92400,91500,92800,90400,658.03K,-0.43%
1/17/2018,90200,92500,92600,90200,334.15K,-2.38%
1/18/2018,92000,90000,92000,87500,494.03K,2.00%
1/19/2018,87500,92000,92200,87500,1.28M,-4.89%
1/22/2018,92500,89000,93500,89000,578.81K,5.71%
1/25/2018,97200,93000,97500,93000,1.03M,5.08%
1/26/2018,97500,97300,98200,95100,629.31K,0.31%
1/29/2018,94500,97500,98000,94200,363.31K,-3.08%
1/30/2018,90800,94500,94800,90000,650.63K,-3.92%
1/31/2018,92100,90800,95000,90600,1.08M,1.43%
2/1/2018,92100,94000,94000,90500,724.81K,0.00%
2/2/2018,91000,92000,92500,86700,669.23K,-1.19%
2/5/2018,84700,85500,87000,84700,661.07K,-6.92%
2/6/2018,86000,78800,86000,78800,1.87M,1.53%
2/7/2018,83000,86000,86500,83000,566.45K,-3.49%
2/8/2018,85000,83900,86400,82500,471.67K,2.41%
2/9/2018,82200,81000,83000,79500,948.34K,-3.29%
2/12/2018,85000,84000,85000,81100,997.38K,3.41%
2/13/2018,85600,85000,87000,85000,485.92K,0.71%
2/21/2018,89500,85600,90000,85600,326.21K,4.56%
2/22/2018,88000,88000,90000,88000,402.29K,-1.68%
2/23/2018,89800,89000,90700,88100,653.11K,2.05%
2/26/2018,89900,91000,93000,89900,592.57K,0.11%
2/27/2018,91400,91500,92000,90400,567.63K,1.67%
2/28/2018,89200,91000,92500,89200,1.15M,-2.41%
3/1/2018,91000,90000,91500,89300,686.47K,2.02%
3/2/2018,91500,91000,93200,89500,265.49K,0.55%
3/5/2018,91000,93000,93000,91000,704.60K,-0.55%
3/6/2018,90500,91000,91600,90500,846.74K,-0.55%
3/7/2018,91400,90600,91700,90400,1.14M,0.99%
3/8/2018,94000,91400,95000,91200,829.83K,2.84%
3/9/2018,94100,95000,96000,93900,398.40K,0.11%
3/12/2018,95200,95000,95700,94200,191.14K,1.17%
3/13/2018,95000,95200,95200,93500,263.07K,-0.21%
3/14/2018,94000,94200,95400,94000,315.59K,-1.05%
3/15/2018,93000,95000,95000,93000,456.96K,-1.06%
3/16/2018,92000,94200,94200,92000,3.69M,-1.08%
3/19/2018,94300,92000,94300,92000,368.79K,2.50%
3/20/2018,100500,94700,100500,94300,981.90K,6.57%
3/21/2018,102400,100500,103400,99600,901.32K,1.89%
3/22/2018,103600,102500,104500,102500,772.70K,1.17%
3/23/2018,102000,99500,103000,99500,946.78K,-1.54%
3/26/2018,109100,102000,109100,100900,1.33M,6.96%
3/27/2018,109000,111000,114000,109000,969.01K,-0.09%
3/28/2018,110400,109000,110400,107000,450.68K,1.28%
3/29/2018,109500,111500,112000,108000,515.40K,-0.82%
